id;Name;;;Src;;;;Descriptions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Duration;Directed by;;Staring
1;Black Panther;;;https://www.youtube.com/embed/dxWvtMOGAhw;;;;Black Panther is a 2018 American superhero film based on the Marvel Comics character of the same name. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the 18th film in the Marvel Cinematic Universe (MCU). The film was directed by Ryan Coogler, who co-wrote the screenplay with Joe Robert Cole, and it stars Chadwick Boseman as T'Challa / Black Panther alongside Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, and Andy Serkis. In Black Panther, T'Challa is crowned king of Wakanda following his father's death, but he is challenged by Killmonger (Jordan) who plans to abandon the country's isolationist policies and begin a global revolution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 14 min;Ryan Coogler;;Chadwick Boseman, Michael B.Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Basset, Forest Whitaker, Andy Serkis, Stan Lee, Sebastian Stan
2;After;;;https://www.youtube.com/embed/95BKJA2QhCc;;;;After is a 2019 American romantic drama film directed by Jenny Gage, based on the 2014 new adult fiction novel of the same name by Anna Todd, originally released as a fanfiction on Wattpad. The screenplay is written by Susan McMartin, Tamara Chestna, and Jenny Gage. The film stars Josephine Langford and Hero Fiennes Tiffin, and follows an inexperienced teenage girl who begins to romance a mysterious student during her first months of college. The cast includes Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, and Peter Gallagher in supporting roles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1h 46 min;Jenny Gage;;Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher
3;Star wars: The Empire strikes back;;;https://www.youtube.com/embed/JNwNXF9Y6kY;;;;"The Empire Strikes Back (also known as Star Wars: Episode V – The Empire Strikes Back) is a 1980 American epic space opera film directed by Irvin Kershner and written by Leigh Brackett and Lawrence Kasdan, based on a story by George Lucas. The sequel to Star Wars (1977),[b] it is the second film in the Star Wars film series and the fifth chronological chapter of the ""Skywalker Saga"". Set three years after the events of Star Wars, the film recounts the battle between the malevolent Galactic Empire, led by the Emperor and the Rebel Alliance led by Princess Leia. Luke Skywalker trains to master the Force so he can confront the powerful Sith lord, Darth Vader. The ensemble cast includes Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Kenny Baker, Peter Mayhew, and Frank Oz.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 4 min;Irvin Kershner;;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Danies, David Prowse, Kenny Baker, Peter Mayhew, Frank Oz
4;Zack Snyder's Justice league;;;https://www.youtube.com/embed/QGnXv7vJkJY;;;;"Zack Snyder's Justice League, often referred to as the ""Snyder Cut"", is the 2021 director's cut of the 2017 American superhero film Justice League. It presents Justice League—the fifth film of the DC Extended Universe (DCEU) and the sequel to Batman v Superman: Dawn of Justice (2016)—as director Zack Snyder intended it before he left the production. Like the theatrical release, Zack Snyder's Justice League follows DC Comics' Justice League—Batman (Ben Affleck), Superman (Henry Cavill), Wonder Woman (Gal Gadot), Cyborg (Ray Fisher), Aquaman (Jason Momoa), and the Flash (Ezra Miller)—as they attempt to save the world from the catastrophic threat of Darkseid (Ray Porter), Steppenwolf (Ciarán Hinds), and their army of Parademons.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4h 2 min;Zack Snyder;;Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ray Fisher, Jason Momoa, Ezra Miller, Willem Dafoe, Jesse Eisenberg, Jeremy Irons, Diane Lane, Connie Nielsen, J.K Simmons
5;Jaws;;;https://www.youtube.com/embed/4pxkU9GVAoA;;;;Jaws is a 1975 American thriller film directed by Steven Spielberg, based on the 1974 novel by Peter Benchley. In the film, a man-eating great white shark attacks beachgoers at a summer resort town, prompting police chief Martin Brody (Roy Scheider) to hunt it with the help of a marine biologist (Richard Dreyfuss) and a professional shark hunter (Robert Shaw). Murray Hamilton plays the mayor, and Lorraine Gary portrays Brody's wife. The screenplay is credited to Benchley, who wrote the first drafts, and actor-writer Carl Gottlieb, who rewrote the script during principal photography.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 4 min;Steven Spielberg;;Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton
6;Joker;;;https://www.youtube.com/embed/zAGVQLHvwOY;;;;Joker is a 2019 American psychological thriller film directed and produced by Todd Phillips, who co-wrote the screenplay with Scott Silver. The film, based on DC Comics characters, stars Joaquin Phoenix as the Joker and provides a possible origin story for the character. Set in 1981, it follows Arthur Fleck, a failed clown and stand-up comedian whose descent into insanity and nihilism inspires a violent counter-cultural revolution against the wealthy in a decaying Gotham City. Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, and Marc Maron appear in supporting roles. Joker was produced by Warner Bros. Pictures, DC Films, and Joint Effort, in association with Bron Creative and Village Roadshow Pictures, and distributed by Warner Bros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 2 min;Todd Phillips;;Joaquin Phoenix, Robert de Niro, Zazie Beetz, Frances Conroy
7;It;;;https://www.youtube.com/embed/_oBZ_zTz0Nw;;;;It, titled on-screen as It: Chapter One, is a 2017 American coming-of-age supernatural horror film based on Stephen King's 1986 novel of the same name. The film was produced by New Line Cinema, KatzSmith Productions, Lin Pictures, and Vertigo Entertainment. It is the first film in the It film series as well as being the second adaptation following Tommy Lee Wallace's 1990 miniseries. It tells the story of seven children in Derry, Maine who are terrorized by the eponymous being, only to face their own personal demons in the process. The film is also known as It: Part 1 – The Losers' Club;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h  15 min;Andy Muschietti;;Jaeden Lieberher, Bill Skarsgård
8;Titanic;;;https://www.youtube.com/embed/ZQ6klONCq4s;;;;Titanic is a 1997 American epic romance and disaster film directed, written, produced, and co-edited by James Cameron. Incorporating both historical and fictionalized aspects, it is based on accounts of the sinking of the RMS Titanic, and stars Leonardo DiCaprio and Kate Winslet as members of different social classes who fall in love aboard the ship during its ill-fated maiden voyage.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3h 15 min;James Cameron;;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Bernard Hill, Jonathan Hyde, Danny Nucci, David Warner, Bill Paxton
9;Harry Potter and the Chamber of Secrets;;;https://www.youtube.com/embed/jBltxS8HfQ4;;;;Harry Potter and the Chamber of Secrets is a 2002 fantasy film directed by Chris Columbus and distributed by Warner Bros. Pictures, based on J. K. Rowling's 1998 novel of the same name. Produced by David Heyman and written by Steve Kloves, it is the sequel to Harry Potter and the Philosopher's Stone (2001) and the second instalment in the Harry Potter film series. The film stars Daniel Radcliffe as Harry Potter, with Rupert Grint as Ron Weasley, and Emma Watson as Hermione Granger. Its story follows Harry's second year at Hogwarts School of Witchcraft and Wizardry as the Heir of Salazar Slytherin opens the Chamber of Secrets, unleashing a monster that petrifies the school's denizens.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 41 min;Chris Columbus;;Daniel Radcliffe, Ruper Grintt, Emma Watson, Kenneth Branagh, John Cleese, Robbie Coltrane, Warwick Davis, Richard Griffithsm Richard Harris, Jason Isaacs, Alan Rickman, Fiona Shaw, Maggie Smith, Julie Walters
10;Avatar;;;https://www.youtube.com/embed/6ziBFh3V1aM;;;;Avatar (marketed as James Cameron's Avatar) is a 2009 American epic science fiction film directed, written, produced, and co-edited by James Cameron and starring Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, and Sigourney Weaver. The film is set in the mid-22nd century when humans are colonizing Pandora, a lush habitable moon of a gas giant in the Alpha Centauri star system, in order to mine the valuable mineral unobtanium. The expansion of the mining colony threatens the continued existence of a local tribe of Na'vi – a humanoid species indigenous to Pandora. The film's title refers to a genetically engineered Na'vi body operated from the brain of a remotely located human that is used to interact with the natives of Pandora.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2h 42 min;James Cameron;;Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, Sigourney Weaver
